word_1,word_2,distance
abandon,disown,0.6196
ability,capability,0.606663
abnormal,normal,0.473661
above,below,0.337824
abuse,use,0.79224
accept,reject,0.376721
account,checking,0.730179
accuse,blame,0.486718
ache,stomach,0.54828
achieve,goal,0.570644
act,perform,0.612506
action,reaction,0.68846
active,hyper,0.833399
actor,actress,0.275584
actress,actor,0.275584
add,sum,0.797365
addition,subtraction,0.802502
adjective,adverb,0.398947
adolescent,puberty,0.584656
adventure,explorer,0.743116
advice,suggest,0.774004
africa,continent,0.479027
after,before,0.285152
again,repeat,0.608908
against,for,0.699879
age,years,0.514945
agreement,contract,0.432756
air,fan,0.789949
airplane,flying,0.461211
alcohol,drunk,0.496009
alert,awareness,0.759982
alive,dead,0.276063
all,most,0.631703
alligator,crocodile,0.526506
allow,disallow,0.810273
alone,lonely,0.407888
alright,okay,0.416165
aluminum,foil,0.656861
always,forever,0.487377
am,be,0.423686
ambulance,emergency,0.460134
america,usa,0.478787
american,flag,0.723269
amount,quantity,0.477245
amuse,entertain,0.434152
angel,saint,0.768958
anger,fury,0.484239
angry,mad,0.357318
animal,beast,0.54554
ankle,sprain,0.363688
annoy,frustrate,0.623513
annoying,irritating,0.315339
annually,yearly,0.453437
answer,explanation,0.623957
ant,anteater,0.636113
anxiety,stress,0.410948
apart,together,0.513025
apartment,rent,0.512752
ape,monkey,0.488629
apology,sorry,0.570195
appear,seem,0.483411
apple,pie,0.497286
april,march,0.310202
area,region,0.601084
argue,debate,0.652473
argument,disagreement,0.634844
arm,shoulder,0.399602
armor,knight,0.564696
arms,octopus,0.774005
army,corporal,0.564892
around,surrounding,0.801197
arrogant,cocky,0.472166
arrow,bow,0.454998
art,sculpture,0.459203
artist,con,0.710437
ashtray,ash,0.608474
asia,europe,0.465882
ask,inquire,0.740632
asleep,unconscious,0.566957
ass,donkey,0.662497
assistant,helper,0.727975
assume,presume,0.548017
atom,neutron,0.609606
attack,assault,0.575576
attempt,try,0.525335
attic,basement,0.439048
aunt,relative,0.723619
australia,kangaroo,0.589342
auto,car,0.649689
average,norm,0.760578
awake,asleep,0.355766
award,merit,0.640499
aware,unaware,0.442551
away,further,0.774024
ax,hatchet,0.751614
baby,child,0.377431
back,retreat,0.6858
backpack,knapsack,0.580555
backward,forward,0.47426
bacon,eggs,0.562656
bad,villain,0.745052
bag,sack,0.492898
bake,broil,0.733216
ball,bowling,0.527317
ballet,tutu,0.808836
balloon,helium,0.583816
band,rubber,0.713183
bank,teller,0.649969
bar,saloon,0.628679
bargain,sale,0.629111
base,foundation,0.848913
baseball,catcher,0.64846
basic,instinct,0.761101
basket,wicker,0.576372
basketball,dunk,0.631036
bass,treble,0.55024
bat,ball,0.624451
bath,robe,0.645291
bathroom,toilet,0.330594
beach,coast,0.530619
beam,laser,0.454738
bean,kidney,0.741313
bear,cub,0.631496
beard,mustache,0.394145
beast,beauty,0.599062
beat,rhythm,0.594711
beautiful,gorgeous,0.250999
bed,loft,0.730214
bedroom,room,0.445907
bee,hive,0.496923
beef,roast,0.495422
beer,mug,0.612869
before,after,0.285152
beg,plead,0.560216
begin,originate,0.992178
beginner,novice,0.412003
beginning,ending,0.467328
behind,ahead,0.522615
being,human,0.646751
belief,superstition,0.519591
believe,disbelieve,0.542406
bell,chime,0.61802
below,above,0.337824
belt,sash,0.736864
bend,flexible,0.860686
best,favorite,0.518725
better,worse,0.295223
bible,proverb,0.676046
bicycle,tricycle,0.517513
big,huge,0.325945
bike,pedal,0.53692
billy,idol,0.715791
biology,science,0.497847
bird,wings,0.509587
bit,drill,0.801511
bitch,snob,0.727858
bite,bit,0.676984
black,white,0.224064
blame,scapegoat,0.545901
blanket,quilt,0.638443
bleach,clorox,0.673227
blonde,brunette,0.328015
blood,cut,0.775198
blow,whistle,0.58953
blue,sapphire,0.699607
blush,embarrass,0.68505
board,bulletin,0.560797
boat,hull,0.736849
body,physiology,0.762302
bomb,explosion,0.476291
bone,hip,0.592782
book,magazine,0.660656
boots,hiking,0.630088
booze,whiskey,0.556214
bored,busy,0.563234
boring,monotonous,0.56413
borrow,lend,0.329895
boss,secretary,0.664755
bother,nag,0.858929
bow,arrow,0.454998
box,carton,0.609687
boxer,fighter,0.494112
boy,girl,0.29917
boyfriend,girlfriend,0.102877
boys,hardy,0.782371
bra,underwear,0.475257
bracelet,charm,0.58891
brain,thinking,0.755631
branch,twig,0.611661
brave,daring,0.510926
bravery,valor,0.578873
bread,stale,0.661308
break,shatter,0.588915
breakfast,cereal,0.575285
breathe,air,0.507767
brick,block,0.662218
bride,groom,0.270976
britain,england,0.511222
broccoli,cauliflower,0.50995
broken,promise,0.674465
brother,sister,0.214136
brothers,righteous,0.716719
brush,bristle,0.676343
bubble,burst,0.562794
bucket,pail,0.521431
buffalo,bison,0.630332
bug,cricket,0.838192
build,construction,0.572034
builder,contractor,0.554223
building,architect,0.604133
bum,hobo,0.650584
bump,lump,0.73345
bush,shrub,0.708141
business,corporation,0.707208
busy,occupied,0.676197
butter,peanut,0.518383
butterfly,cocoon,0.598934
cab,taxi,0.21331
cabbage,coleslaw,0.549798
cabin,lodge,0.684458
cabinet,file,0.790719
cactus,prickly,0.620371
cake,frosting,0.439888
calculate,compute,0.477315
call,phone,0.338677
calm,soothe,0.687826
camera,tourist,0.85479
camp,tent,0.521234
can,opener,0.799109
cancer,tumor,0.482952
candle,wick,0.683611
candy,chocolate,0.415591
cans,recycle,0.58679
cant,inability,0.790918
capability,ability,0.606663
car,valve,0.819574
card,credit,0.362132
cards,deal,0.800384
care,handle,0.524111
careful,cautious,0.575888
caring,loving,0.415847
carpet,rug,0.374382
carrot,celery,0.526891
carry,haul,0.618543
cars,parkway,0.892791
cash,money,0.355801
castle,moat,0.530729
cat,claw,0.694102
catholic,protestant,0.370978
cats,litter,0.670145
cause,effect,0.766888
cautious,careful,0.575888
cave,cavern,0.39551
cell,sickle,0.723338
center,middle,0.778816
cereal,fiber,0.733422
ceremony,ritual,0.459354
chain,link,0.687405
chair,recliner,0.414423
chalk,blackboard,0.640634
chance,opportunity,0.416207
change,alter,0.4949
chaos,havoc,0.617616
characteristic,trait,0.620429
cheap,expensive,0.392064
cheat,affair,0.734651
check,mark,0.790286
cheese,swiss,0.610247
chemistry,elements,0.776783
chest,treasure,0.671496
chew,gum,0.587038
chicken,roost,0.744641
chief,commander,0.460875
child,kid,0.427718
children,toys,0.613596
china,japan,0.474886
chip,dip,0.77612
chocolate,pudding,0.575929
choice,selection,0.712168
choose,pick,0.594956
christ,jesus,0.163246
christmas,reindeer,0.517283
church,temple,0.73449
cigarette,nicotine,0.51701
circle,diameter,0.697974
circus,juggler,0.546676
city,county,0.578129
clam,oyster,0.56693
class,subject,0.778325
clay,pottery,0.56687
clean,shower,0.604267
cleaner,vacuum,0.461105
clear,vivid,0.784421
cliff,ledge,0.51691
climate,weather,0.55963
climb,stairs,0.55654
clipper,toenail,0.957946
clock,time,0.649109
close,open,0.423995
closed,caption,0.934175
closing,opening,0.431567
cloth,rag,0.677835
clothes,attire,0.527144
cloudy,sunny,0.441934
clown,circus,0.431186
club,member,0.703257
clue,hint,0.496144
coat,trench,0.690297
cocaine,crack,0.553337
code,morse,0.567805
coffee,caffeine,0.55272
coke,rum,0.531264
cold,cough,0.687775
collar,lapel,0.636412
college,degree,0.57733
cologne,musk,0.789625
color,hue,0.536347
come,leave,0.366722
comfortable,cozy,0.481266
comment,remark,0.644707
communism,fascism,0.436185
communist,russia,0.592982
compact,disc,0.692679
company,agency,0.659722
computer,system,0.616441
con,pro,0.65142
conceited,vain,0.663749
concert,ticket,0.610012
concrete,slab,0.616913
condom,protection,0.847821
conference,meeting,0.486298
confess,admit,0.406908
confusion,chaos,0.420907
congress,senate,0.482621
conservative,liberal,0.426874
construction,builder,0.566558
continent,africa,0.479027
control,dominate,0.703564
cook,kitchen,0.41589
cool,refreshing,0.617337
cop,policeman,0.345027
copy,imitate,0.890396
coral,reef,0.366158
corn,flake,0.807433
cotton,polyester,0.622569
couch,cushion,0.569139
cough,sneeze,0.517841
country,republic,0.613867
course,obstacle,0.704809
court,case,0.539095
cover,lid,0.772245
cow,beef,0.622503
cowboy,cowgirl,0.49602
crab,lobster,0.345762
crack,crevice,0.659272
cracker,saltine,0.706692
crackle,snap,0.639974
crafts,arts,0.45468
crash,impact,0.679908
crayon,crayola,0.602245
crazy,nuts,0.31055
create,invent,0.550259
creator,inventor,0.738104
crime,rape,0.564415
criminal,fugitive,0.610921
crooked,uneven,0.735431
crops,harvest,0.463681
crowd,mob,0.618833
crunchy,crisp,0.607067
cry,laugh,0.339294
cuddle,snuggle,0.448672
cup,saucer,0.596831
cure,antidote,0.533155
curtains,drapes,0.457017
cut,bandaid,0.786758
cute,adorable,0.294693
dad,mummy,0.57034
dagger,cloak,0.49936
daily,everyday,0.537473
dam,beaver,0.759444
dance,ballet,0.471122
dancer,singer,0.51517
danger,caution,0.694547
dangerous,harmful,0.593445
daring,adventurous,0.513049
dark,tan,0.771824
data,information,0.448576
date,calendar,0.596188
day,night,0.393642
days,glory,0.844836
dead,corpse,0.403645
deaf,mute,0.54664
death,burial,0.698043
decay,deteriorate,0.713952
decide,determine,0.514187
decision,choice,0.462466
deep,shallow,0.479913
deer,antlers,0.462926
defeat,conquer,0.565669
defense,offense,0.662892
definition,meaning,0.622652
deodorant,ban,0.88948
dependable,reliable,0.445114
dependent,independent,0.782393
descend,ascend,0.330055
desert,mirage,0.628583
desk,office,0.399251
destroy,annihilate,0.370353
destruction,elimination,0.777812
devil,demon,0.436991
diamond,jewel,0.552798
diary,journal,0.692938
dictionary,define,0.842102
die,suffocate,0.572631
different,change,0.594609
dill,pickles,0.632683
dime,quarter,0.632619
dinner,lunch,0.292684
dinosaur,fossil,0.482652
direct,indirect,0.511998
direction,compass,0.569185
directions,instructions,0.654438
dirt,soil,0.591148
dirty,clean,0.415989
disagree,agree,0.279738
disagreement,agreement,0.658011
disappear,reappear,0.442868
disc,compact,0.692679
disease,infection,0.499323
disgusting,gross,0.413009
dish,china,0.859886
dishes,plates,0.590131
ditch,gully,0.652427
dive,scuba,0.466444
divide,separate,0.666978
do,make,0.449041
doctor,medical,0.468518
doe,deer,0.817431
dog,breed,0.560716
doll,porcelain,0.631638
dollar,buck,0.588426
dollars,cents,0.381607
dolphin,flipper,0.564105
done,finished,0.380636
donkey,ass,0.662497
dont,do,0.661887
door,knock,0.43536
dots,connect,0.66144
doughnut,pastry,0.617363
down,lay,0.602136
drain,clog,0.777282
draw,sketch,0.618417
dream,sleep,0.527882
dress,formal,0.672386
drink,slurp,0.516221
drip,leak,0.748514
drive,steer,0.625739
driver,screw,0.798475
driving,reckless,0.678676
drop,drip,0.768589
drug,heroine,0.832568
drugs,illegal,0.551579
drunk,intoxicated,0.450253
dry,wet,0.374599
duck,quack,0.432632
dull,boring,0.335141
dumb,smart,0.360445
dusk,dawn,0.430858
dust,lint,0.694599
duty,obligation,0.471287
ear,lobe,0.610212
early,late,0.343592
earth,world,0.516662
earthquake,disaster,0.51656
east,west,0.227133
easy,simple,0.506249
eat,feed,0.427182
egg,yolk,0.484942
eggs,boiled,0.547228
egypt,pyramid,0.584186
eight,figure,0.677933
elect,vote,0.516934
electric,shock,0.591029
electricity,energy,0.470996
elephant,tusk,0.563239
elevator,escalator,0.605614
eleven,ten,0.344192
embarrass,humiliate,0.523611
emergency,ambulance,0.460134
emotion,feeling,0.556906
empire,roman,0.561537
employer,employee,0.297911
empty,vacancy,0.890131
encourage,discourage,0.443029
end,outcome,0.678622
ending,conclusion,0.718224
enemy,adversary,0.4884
energy,kinetic,0.52928
england,london,0.544974
english,language,0.341908
enlarge,magnify,0.69076
enough,plenty,0.466613
enter,exit,0.579608
environment,surroundings,0.509123
erupt,volcano,0.553662
even,level,0.783371
evidence,proof,0.424447
evil,devil,0.458714
exact,precise,0.390298
example,sample,0.959662
excited,overwhelm,0.894331
excuse,pardon,0.434773
exercise,stretch,0.686388
exhale,inhale,0.393035
exit,entrance,0.431765
expensive,valuable,0.603317
experiment,lab,0.506885
explain,elaborate,0.696056
explode,implode,0.576255
explosion,dynamite,0.63511
extinct,dinosaur,0.567415
extrovert,introvert,0.375858
eye,squint,0.577445
eyes,eyebrows,0.65084
face,mask,0.590504
fad,trend,0.660351
fail,pass,0.554363
failure,success,0.554916
faint,swoon,0.669249
fair,just,0.608555
faith,believe,0.524525
fake,unnatural,0.83607
fall,drop,0.522321
false,untrue,0.598683
family,friends,0.434425
fantasy,reality,0.48066
far,distance,0.606985
farm,agriculture,0.616915
fashion,fad,0.672361
fast,speed,0.534291
fat,skinny,0.44216
father,mother,0.190763
fear,terror,0.538713
feel,touch,0.548275
feeling,emotion,0.556906
feet,hands,0.48866
female,sex,0.657525
fence,gate,0.569746
few,many,0.396746
fiction,facts,0.757973
field,meadow,0.727448
fight,conflict,0.688741
fighter,warrior,0.596669
film,movie,0.2978
find,discovery,0.799135
finger,hand,0.429077
finish,accomplish,0.657711
finished,accomplished,0.604947
fire,torch,0.653909
first,original,0.806409
fish,cod,0.514351
fishing,sinker,0.683247
fist,fight,0.552141
five,four,0.198114
fix,repair,0.457805
flag,american,0.723269
flakes,frosted,0.658849
flirt,tease,0.566287
float,raft,0.608694
floor,mop,0.634972
flop,flip,0.528566
florida,state,0.620299
flower,tulip,0.631186
flowers,bouquet,0.397514
flute,clarinet,0.447499
fly,airplane,0.465623
fog,mist,0.358871
fold,crease,0.681274
folder,binder,0.767652
follower,leader,0.627152
food,provision,0.927876
foot,toe,0.507688
football,arena,0.715
for,against,0.699879
force,inertia,0.66793
foreign,legion,0.747388
foresight,hindsight,0.74284
forest,wilderness,0.565235
forever,always,0.487377
forgive,repentance,0.577606
fork,knife,0.523466
fortune,fame,0.619101
forward,advance,0.801829
found,lost,0.587744
four,three,0.112317
fox,sly,0.566372
fragile,delicate,0.444134
frame,picture,0.505932
france,paris,0.320637
frankenstein,monster,0.457826
fraternity,greek,0.858083
freedom,liberty,0.453377
friend,trustworthy,0.793719
fries,french,0.595504
fright,scare,0.569492
frightened,scared,0.274217
frog,toad,0.499919
front,side,0.585713
fruit,banana,0.526642
fudge,topping,0.805502
full,capacity,0.875962
fun,weekend,0.526335
fungus,bacteria,0.478846
funny,clown,0.573431
furniture,patio,0.687321
future,destiny,0.499628
gain,loss,0.550115
gamble,bet,0.493013
game,dice,0.588274
gander,goose,0.556544
garbage,dump,0.48938
garden,hoe,0.795248
gas,fuel,0.502067
gather,accumulate,0.733944
geek,nerd,0.455844
general,specific,0.872856
geometry,angle,0.748103
george,curious,0.800727
get,acquire,0.77492
ghost,ghoul,0.539641
gift,present,0.495373
gin,tonic,0.526464
girl,gal,0.583612
girlfriend,boyfriend,0.102877
girls,guys,0.408599
give,generous,0.676242
glass,window,0.520551
glasses,lens,0.620113
glory,hope,0.643678
gloves,boxing,0.695294
glue,paste,0.660096
go,attend,0.672399
goal,ambition,0.66987
god,demi,0.869219
gold,necklace,0.577485
gone,going,0.416738
goo,slimy,0.745443
good,righteousness,0.801758
goose,gander,0.556544
government,oligarchy,0.732043
grab,tag,0.733143
graduation,diploma,0.589228
grand,canyon,0.6356
grandma,grandpa,0.212626
grape,raisin,0.673648
graph,chart,0.534554
grasp,hold,0.702939
grass,weed,0.546583
grave,tomb,0.497744
great,exceptional,0.634644
greed,selfish,0.514154
green,bean,0.776191
grill,charcoal,0.634562
groceries,list,0.867428
gross,disgusting,0.413009
ground,hole,0.635292
group,gang,0.545184
grow,develop,0.60048
growth,development,0.584567
guard,sentry,0.539132
guess,hypothesis,0.864649
guilt,shame,0.566265
guilty,innocence,0.521526
guitar,banjo,0.429623
gum,bubble,0.709432
gun,violence,0.709838
habit,tendency,0.737063
hair,spray,0.690338
hall,corridor,0.648325
halloween,witch,0.645718
hallway,passage,0.746661
hamburger,mcdonalds,0.486733
hammer,tools,0.658943
hand,finger,0.429077
hands,gloves,0.596963
happy,delight,0.744155
hard,erect,0.952972
harvest,reap,0.634475
hat,cap,0.499829
hate,dislike,0.49488
have,must,0.368129
hay,pitchfork,0.74648
head,hat,0.574216
headache,aspirin,0.48462
health,mental,0.541131
healthy,fitness,0.642857
hear,listen,0.314472
heart,transplant,0.714153
heat,warmth,0.512726
heaven,angel,0.541016
heavy,load,0.553073
hell,heaven,0.520663
hello,goodbye,0.428441
help,benefit,0.78398
helper,assistant,0.727975
her,him,0.41855
here,there,0.252929
hidden,unseen,0.547455
high,low,0.337121
higher,lower,0.365479
highway,freeway,0.418668
hill,steep,0.568208
hint,subtle,0.602284
hip,waist,0.64791
hit,miss,0.788702
hitchhike,hiker,0.757021
hog,pig,0.518835
hold,grip,0.612569
hole,ditch,0.692113
holy,pious,0.746196
home,welcome,0.519129
homeless,hopeless,0.770916
homework,assignment,0.588237
honest,truthful,0.463314
honesty,earnestness,0.687294
honor,prestige,0.746899
hoop,hula,0.633003
horn,bugle,0.630723
horse,trot,0.60673
hose,nylon,0.674216
hospital,general,0.729138
hostess,host,0.562777
hot,fire,0.605708
hotel,suite,0.486357
hound,fox,0.609969
hours,minutes,0.250022
house,doll,0.606738
hug,embrace,0.579106
hula,hoop,0.633003
human,being,0.646751
hundred,percent,0.447015
hunger,famine,0.489616
hungry,starving,0.268175
hunter,bounty,0.503992
hurricane,typhoon,0.502547
hurry,rush,0.51998
hurt,ouch,0.48648
husband,spouse,0.464669
hypnotize,trance,0.668195
ice,igloo,0.724789
id,ego,0.853042
idea,suggestion,0.523195
idiot,moron,0.352676
ignore,disregard,0.551271
ill,sick,0.421516
illegal,legal,0.668426
immature,childish,0.526552
important,special,0.667194
in,out,0.396017
increase,decrease,0.255526
independent,dependent,0.782393
indian,tribe,0.601518
indoors,outdoors,0.40146
inferior,superior,0.360111
inhale,exhale,0.393035
innocent,guilty,0.375201
insane,crazy,0.267805
instrument,tuba,0.59404
insurance,claim,0.687837
iron,ore,0.681756
irregular,regular,0.537607
irritating,annoying,0.315339
island,paradise,0.588679
it,damn,0.358815
italian,mafia,0.572465
itch,rash,0.548995
item,product,0.794311
jacket,vest,0.446707
jail,prisoner,0.49454
jane,tarzan,0.602749
jeans,pocket,0.694331
jelly,jar,0.58858
jesus,christ,0.163246
jewish,rabbi,0.393338
job,task,0.69361
jogger,runner,0.625414
join,participate,0.513447
joke,prank,0.524758
journey,quest,0.519771
judge,court,0.325356
juice,prune,0.750544
jump,skip,0.572273
jungle,safari,0.650905
juvenile,delinquent,0.458193
keep,save,0.594512
keeper,grounds,0.875688
ketchup,fries,0.546696
key,latch,0.646244
kidnap,abduct,0.505957
kids,children,0.305148
kill,slay,0.536612
killer,murderer,0.284577
kind,type,0.558228
king,throne,0.423215
kiss,lips,0.488939
kitchen,cabinet,0.699079
klutz,clumsy,0.640436
knee,kneel,0.678461
knife,blade,0.3865
knight,armor,0.564696
knit,crochet,0.530698
know,intuition,0.725719
knowledge,experience,0.545191
lace,frill,0.630794
ladder,rung,0.506959
lady,gentleman,0.324727
lake,pond,0.521457
lamb,mutton,0.477925
land,acre,0.502234
language,spanish,0.616655
large,vast,0.469573
last,first,0.411656
late,tardy,0.726196
later,now,0.452054
laugh,giggle,0.43768
law,rights,0.633743
lawn,mow,0.529209
lawsuit,libel,0.486524
lawyer,attorney,0.369174
layer,ozone,0.604792
leader,chairperson,0.817713
leaf,tree,0.579244
learn,teach,0.183449
leather,suede,0.428246
leave,vacate,0.615044
leaves,rake,0.814332
ledge,balcony,0.593432
left,gone,0.416167
leg,crutch,0.603218
legend,myth,0.434068
legs,knees,0.452618
lemon,lime,0.510175
lend,borrow,0.329895
length,width,0.475128
less,more,0.226674
lesson,diminish,0.905876
let,allow,0.50458
letter,note,0.496248
letters,alphabet,0.571789
lettuce,salad,0.433472
liar,traitor,0.574787
liberty,statue,0.623149
lid,cover,0.772245
lie,slander,0.714258
life,death,0.57491
light,dim,0.609052
lightning,thunder,0.456655
like,attract,0.701328
line,border,0.696745
lion,roar,0.614952
listen,hear,0.314472
little,lots,0.661064
live,survive,0.458073
load,unload,0.374893
lobster,crab,0.345762
lock,key,0.444558
log,cabin,0.526864
lonely,alone,0.407888
long,lasting,0.667783
look,glance,0.6299
looks,appearance,0.652241
loose,tight,0.54829
lose,win,0.35782
loser,winner,0.42624
lost,confusion,0.752224
lot,parking,0.628643
lots,abundance,0.755496
loud,noisy,0.458858
love,like,0.489884
loving,caring,0.415847
low,high,0.337121
luck,chance,0.533968
luggage,baggage,0.270025
lunch,noon,0.49636
machine,copier,0.645653
mad,pissed,0.535513
magazine,issue,0.563457
magic,magician,0.378301
maid,cleaner,0.627676
mail,mailman,0.736223
major,minor,0.486408
make,create,0.585465
maker,manufacturer,0.598521
male,female,0.183703
mall,plaza,0.701469
man,mister,0.482087
manners,etiquette,0.465523
many,variety,0.619219
map,atlas,0.555102
marker,highlight,0.91964
market,stock,0.395609
marriage,threshold,0.926076
marry,single,0.818694
massage,rub,0.625708
material,cloth,0.750575
math,calculator,0.635785
maybe,might,0.269833
maze,labyrinth,0.411818
me,self,0.826837
mean,harsh,0.783007
meaning,definition,0.622652
meat,raw,0.542766
medicine,ointment,0.653633
meet,introduce,0.390576
meeting,conference,0.486298
men,women,0.241841
messy,slob,0.677683
metal,steel,0.421679
middle,center,0.778816
mile,kilometer,0.421079
milk,dairy,0.392009
mind,psychology,0.782916
mine,own,0.539433
minimum,maximum,0.387553
minor,major,0.486408
minus,plus,0.434742
minute,hour,0.50901
mirror,reflection,0.427871
mist,fog,0.358871
mistake,folly,0.761063
misunderstand,confuse,0.576312
mix,blend,0.429039
mixture,combination,0.546825
mob,gangster,0.576493
modern,contemporary,0.505651
mold,shape,0.752418
mom,dad,0.138811
money,wallet,0.555605
monk,monastery,0.437539
monkey,primate,0.600298
monster,frankenstein,0.457826
monthly,weekly,0.359554
moon,crescent,0.717767
more,extra,0.647036
morning,dew,0.712329
most,least,0.668117
motel,hotel,0.409577
mother,father,0.190763
motion,movement,0.639853
motorcycle,helmet,0.555124
mountain,hill,0.526816
mountains,smoky,0.764766
mouse,squeak,0.739401
mouth,jaw,0.564938
move,shift,0.686238
movement,motion,0.639853
movie,production,0.673048
mud,dirt,0.472546
multiply,divide,0.54589
murder,kill,0.568031
murderer,killer,0.284577
muscle,flex,0.584385
music,tune,0.456064
mustache,beard,0.394145
nail,tack,0.812658
naked,strip,0.557748
name,initial,1.02144
narrow,wide,0.615501
nature,natural,0.535392
navy,army,0.553528
near,far,0.573882
neat,organize,0.811148
neck,scarf,0.631297
necklace,bead,0.596839
need,necessary,0.498814
needle,injection,0.62347
negative,positive,0.227603
neighborhood,community,0.650694
nephew,niece,0.402064
nervous,anxiety,0.607675
neuron,axon,0.614202
neutron,electron,0.519975
never,ever,0.243623
new,old,0.585447
news,update,0.657467
newspaper,column,0.603156
newton,fig,0.882747
nice,friendliness,0.789368
night,moonlight,0.567842
no,refuse,0.586582
noise,sound,0.457323
none,all,0.509369
noodles,oodles,0.767222
normal,standard,0.748035
nose,snot,0.533119
not,maybe,0.382355
note,message,0.697489
nothing,worthless,0.632258
novel,mystery,0.739079
novice,beginner,0.412003
now,happening,0.503097
number,digit,0.531881
nun,convent,0.407635
nurse,uniform,0.68855
nut,cashew,0.599437
object,thing,0.724743
obsession,compulsion,0.697256
obstacle,overcome,0.674926
ocean,sea,0.335567
octopus,squid,0.502354
odd,even,0.66985
off,turn,0.558071
offense,defense,0.662892
office,post,0.580873
often,frequency,0.974807
oil,grease,0.622566
okay,aright,0.871388
old,age,0.508512
on,off,0.398725
once,twice,0.341946
one,number,0.537309
onion,liver,0.755207
open,door,0.389011
opening,closing,0.431567
operation,surgery,0.498046
orange,tangerine,0.559182
order,law,0.703776
organize,planning,0.767247
orgasm,climax,0.738748
out,in,0.396017
outdoors,indoors,0.40146
oven,microwave,0.57198
owl,hoot,0.637303
own,have,0.548726
owner,proprietor,0.49936
oxygen,hydrogen,0.55315
oyster,clam,0.56693
package,parcel,0.604827
pain,hurt,0.534504
paint,art,0.632939
painting,canvass,0.815816
pan,skillet,0.541782
pancakes,syrup,0.5925
pants,slacks,0.498018
paper,news,0.769775
parent,guardian,0.60506
park,swing,0.844673
part,component,0.714011
partner,associate,0.580729
parts,components,0.537213
party,celebration,0.481412
pass,fail,0.554363
past,background,0.904608
path,trail,0.534706
patience,wait,0.70028
patient,impatience,0.847977
pavement,asphalt,0.597403
peace,war,0.606422
peach,cobbler,0.806594
peak,summit,0.752072
peanut,brittle,0.75106
pen,quill,0.500135
pencil,pen,0.35798
penny,copper,0.744101
people,society,0.743126
pepper,salt,0.542807
pepsi,coke,0.431201
perfect,practice,0.831097
perfume,obsession,0.830674
period,punctuation,0.884863
person,citizen,0.727609
personality,character,0.502839
persuade,convince,0.278372
phone,dial,0.546064
piano,keyboard,0.526415
pick,choose,0.594956
picket,fence,0.610147
pickles,cucumber,0.700602
picture,camera,0.45459
pie,piece,0.657645
piece,chunk,0.643021
pig,sow,0.631252
pill,tablet,0.566602
pilot,navigator,0.576131
pimple,zit,0.45778
pizza,pepperoni,0.356796
place,position,0.710134
plain,ordinary,0.614539
plan,strategy,0.480116
plane,airport,0.385117
planet,venus,0.592412
planets,mars,0.466708
plant,seed,0.56347
plastic,tupperware,0.606807
plate,dish,0.518818
play,act,0.616915
plead,beg,0.560216
pledge,allegiance,0.514831
plug,outlet,0.739016
plus,minus,0.434742
poem,sonnet,0.430675
poetry,prose,0.346386
point,sharp,0.781068
poison,deadly,0.528329
poker,cards,0.573297
