"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","where1","where2","cue","target"
"b.airplane","m.airplane",0.813746706235618,0.675685685503537,0.677098653036619,"0.634178062","NULL","NULL","NULL","NULL","b","m","airplane","airplane"
"b.airplane","v.airplane",0.630240767480538,0.234650608528903,0,"0.634178062","NULL","NULL","NULL","NULL","b","v","airplane","airplane"
"b.alligator","m.alligator",0.84466029922828,0.818046541918792,0.57207755355036,"0.892367663","NULL","NULL","NULL","NULL","b","m","alligator","alligator"
"b.apple","m.apple",0.860570548372044,0.761951542224398,0.644484702164224,"0.892895435","NULL","NULL","NULL","NULL","b","m","apple","apple"
"b.apple","v.apple",0.902091534959775,0.795108747060699,0,"0.892895435","NULL","NULL","NULL","NULL","b","v","apple","apple"
"b.ashtray","m.ashtray",0.712402692251336,0.538738865138269,0.582413953810793,"0.744697968","NULL","NULL","NULL","NULL","b","m","ashtray","ashtray"
"b.bake","v.bake",0.805165744031081,0.771954365425464,0,"0.748559976","NULL","NULL","NULL","NULL","b","v","bake","bake"
"b.balloon","m.balloon",0.806660548344316,0.711786622692306,0.572803298892464,"0.897138945","NULL","NULL","NULL","NULL","b","m","balloon","balloon"
"b.bean","v.bean",0.515680455468476,0.433954264244468,0,"0.820435899","NULL","NULL","NULL","NULL","b","v","bean","bean"
"b.belt","m.belt",0.835278473260758,0.623774369085599,0.327960142790442,"0.817325118","NULL","NULL","NULL","NULL","b","m","belt","belt"
"b.belt","v.belt",0.775617701568482,0.707847952439798,0.240892958964239,"0.817325118","NULL","NULL","NULL","NULL","b","v","belt","belt"
"b.bike","m.bike",0.752960254088608,0.645575742123068,0.682533860501666,"0.824412535","NULL","NULL","NULL","NULL","b","m","bike","bike"
"b.brush","m.brush",0.564175587600949,0.493235399047174,0.687877717406887,"0.709100327","NULL","NULL","NULL","NULL","b","m","brush","brush"
"b.brush","v.brush",0.737249894561231,0.672312609429808,0,"0.709100327","NULL","NULL","NULL","NULL","b","v","brush","brush"
"b.buffalo","m.buffalo",0.617921887872454,0.568923132290657,0.351677087991022,"0.799286076","NULL","NULL","NULL","NULL","b","m","buffalo","buffalo"
"b.cabbage","m.cabbage",0.334963589289308,0.330902963514617,0,"0.607056973","NULL","NULL","NULL","NULL","b","m","cabbage","cabbage"
"b.cabbage","v.cabbage",0.388002163936068,0.383860760002619,0,"0.607056973","NULL","NULL","NULL","NULL","b","v","cabbage","cabbage"
"b.cabin","m.cabin",0.658864261158537,0.390050881500616,0,"0.818263134","NULL","NULL","NULL","NULL","b","m","cabin","cabin"
"b.cabinet","m.cabinet",0.833200593017698,0.63655656599006,0.648143903889225,"0.909389149","NULL","NULL","NULL","NULL","b","m","cabinet","cabinet"
"b.carry","v.carry",0.600289960955785,0.574248730525804,0,"0.805016462","NULL","NULL","NULL","NULL","b","v","carry","carry"
"b.chair","m.chair",0.614976353617639,0.347065010701441,0.667393504198485,"0.656179606","NULL","NULL","NULL","NULL","b","m","chair","chair"
"b.chair","v.chair",0.78207891838066,0.760910348615723,0,"0.656179606","NULL","NULL","NULL","NULL","b","v","chair","chair"
"b.church","m.church",0.332514722290672,0.117619649162428,0.227266205714047,"0.689106428","NULL","NULL","NULL","NULL","b","m","church","church"
"b.clam","m.clam",0.690927829542867,0.410775836405527,0.262612865730637,"0.798205895","NULL","NULL","NULL","NULL","b","m","clam","clam"
"b.coat","m.coat",0.58516579035304,0.44231173438209,0.399629201044869,"0.717940207","NULL","NULL","NULL","NULL","b","m","coat","coat"
"b.coat","v.coat",0.69214427334331,0.612955557993409,0,"0.717940207","NULL","NULL","NULL","NULL","b","v","coat","coat"
"b.construction","v.construction",0.753598178401868,0.529177803679379,0,"0.908073139","NULL","NULL","NULL","NULL","b","v","construction","construction"
"b.cook","v.cook",0.697097267587883,0.675087761546322,0,"0.865354812","NULL","NULL","NULL","NULL","b","v","cook","cook"
"b.couch","m.couch",0.627672492713119,0.514148524108904,0.601105678352024,"0.713668761","NULL","NULL","NULL","NULL","b","m","couch","couch"
"b.couch","v.couch",0.588226706655618,0.566611907882623,0,"0.713668761","NULL","NULL","NULL","NULL","b","v","couch","couch"
"b.cough","v.cough",0.633245941004385,0.609608393316848,0,"0.763733894","NULL","NULL","NULL","NULL","b","v","cough","cough"
"b.crash","v.crash",0.496416694359495,0.407886723633043,0,"0.741543178","NULL","NULL","NULL","NULL","b","v","crash","crash"
"b.cushion","m.cushion",0.644533050441566,0.522225972293178,0.413253195176711,"1","NULL","NULL","NULL","NULL","b","m","cushion","cushion"
"b.dagger","m.dagger",0.685681719211106,0.640745824725436,0,"0.824906705","NULL","NULL","NULL","NULL","b","m","dagger","dagger"
"b.dagger","v.dagger",0.723102383034417,0.72802178238431,0,"0.824906705","NULL","NULL","NULL","NULL","b","v","dagger","dagger"
"b.desk","m.desk",0.361422761002236,0.213539192692781,0.0750102468345966,"0.755683904","NULL","NULL","NULL","NULL","b","m","desk","desk"
"b.destroy","v.destroy",0.571766301195665,0.57825876343669,0,"0.764600474","NULL","NULL","NULL","NULL","b","v","destroy","destroy"
"b.die","v.die",0.286023439137441,0.444611276645427,0,"0.733973173","NULL","NULL","NULL","NULL","b","v","die","die"
"b.dish","m.dish",0.620154282566346,0.55919551970827,0,"0.652651949","NULL","NULL","NULL","NULL","b","m","dish","dish"
"b.doll","m.doll",0.606627184735915,0.446908324989242,0.514979407338092,"0.781322036","NULL","NULL","NULL","NULL","b","m","doll","doll"
"b.dolphin","m.dolphin",0.592200563430659,0.430370429098889,0.327070709701029,"0.776595589","NULL","NULL","NULL","NULL","b","m","dolphin","dolphin"
"b.door","m.door",0.830749754537941,0.587680697260833,0.354561956641147,"0.776909784","NULL","NULL","NULL","NULL","b","m","door","door"
"b.door","v.door",0.679326037081793,0.468861435368025,0,"0.776909784","NULL","NULL","NULL","NULL","b","v","door","door"
"b.dress","m.dress",0.802907404763471,0.587173790863711,0.764146789147376,"0.755588849","NULL","NULL","NULL","NULL","b","m","dress","dress"
"b.dress","v.dress",0.82722573174985,0.772329518269047,0.80123404880771,"0.755588849","NULL","NULL","NULL","NULL","b","v","dress","dress"
"b.eat","v.eat",0.732972203595069,0.678980072215834,0,"0.896135232","NULL","NULL","NULL","NULL","b","v","eat","eat"
"b.elephant","m.elephant",0.64462219288259,0.627701136421696,0.596314915681211,"0.760517918","NULL","NULL","NULL","NULL","b","m","elephant","elephant"
"b.elephant","v.elephant",0.89301832414568,0.820379971919301,0,"0.760517918","NULL","NULL","NULL","NULL","b","v","elephant","elephant"
"b.empty","v.empty",0.256644716571145,0.233177531707573,0,"0.584829409","NULL","NULL","NULL","NULL","b","v","empty","empty"
"b.fall","v.fall",0.129893242331121,0.101444793147896,0,"0.567520277","NULL","NULL","NULL","NULL","b","v","fall","fall"
"b.find","v.find",0.548338413876151,0.418423840363125,0,"0.806450652","NULL","NULL","NULL","NULL","b","v","find","find"
"b.finger","v.finger",0.655129422098762,0.556055164485354,0,"0.797589586","NULL","NULL","NULL","NULL","b","v","finger","finger"
"b.floor","v.floor",0.698973267332942,0.673667110800453,0,"0.839567375","NULL","NULL","NULL","NULL","b","v","floor","floor"
"b.flute","m.flute",0.757522710655347,0.710082584482883,0.690183221391268,"0.923715234","NULL","NULL","NULL","NULL","b","m","flute","flute"
"b.fly","v.fly",0.727738873425248,0.391699985611933,0,"0.833761723","NULL","NULL","NULL","NULL","b","v","fly","fly"
"b.fork","m.fork",0.73784118532257,0.588156100280177,0.645382078993609,"0.72135962","NULL","NULL","NULL","NULL","b","m","fork","fork"
"b.fork","v.fork",0.704115524631843,0.5738346974453,0.517013606857608,"0.72135962","NULL","NULL","NULL","NULL","b","v","fork","fork"
"b.fox","m.fox",0.620975562232271,0.600986669304378,0,"0.805065546","NULL","NULL","NULL","NULL","b","m","fox","fox"
"b.fox","v.fox",0.678609143864811,0.651438881319958,0,"0.805065546","NULL","NULL","NULL","NULL","b","v","fox","fox"
"b.garlic","m.garlic",0.510277578150726,0.37462208242862,0.338143244484517,"0.797523814","NULL","NULL","NULL","NULL","b","m","garlic","garlic"
"b.gloves","m.gloves",0.568526971576964,0.545417979903042,0.575336976985224,"0.704090702","NULL","NULL","NULL","NULL","b","m","gloves","gloves"
"b.gun","m.gun",0.738080737121748,0.575474498450184,0.598809836292539,"0.817922385","NULL","NULL","NULL","NULL","b","m","gun","gun"
"b.gun","v.gun",0.928119610197808,0.475349974430864,0,"0.817922385","NULL","NULL","NULL","NULL","b","v","gun","gun"
"b.hammer","m.hammer",0.709270988503023,0.664136425382168,0.746363907846173,"0.84094994","NULL","NULL","NULL","NULL","b","m","hammer","hammer"
"b.hammer","v.hammer",0.724551791862598,0.621072974476269,0.397264506520744,"0.84094994","NULL","NULL","NULL","NULL","b","v","hammer","hammer"
"b.hear","v.hear",0.862341495912939,0.699480549214745,0,"0.912829682","NULL","NULL","NULL","NULL","b","v","hear","hear"
"b.hit","v.hit",0.19159982201864,0.193742020208352,0,"0.64309927","NULL","NULL","NULL","NULL","b","v","hit","hit"
"b.hold","v.hold",0.512718384223118,0.29350612832193,0,"0.75376135","NULL","NULL","NULL","NULL","b","v","hold","hold"
"b.house","m.house",0.536892359634318,0.500902491652574,0.895260754250044,"0.720563525","NULL","NULL","NULL","NULL","b","m","house","house"
"b.inhale","v.inhale",0.709450154016329,0.483449246921831,0,"0.865850326","NULL","NULL","NULL","NULL","b","v","inhale","inhale"
"b.itch","v.itch",0.575140108045161,0.458658623243853,0,"0.869330042","NULL","NULL","NULL","NULL","b","v","itch","itch"
"b.knife","m.knife",0.829257841238703,0.590748489031404,0.559177204987452,"0.774317176","NULL","NULL","NULL","NULL","b","m","knife","knife"
"b.knife","v.knife",0.812642947045451,0.768475422625618,0.290694265439981,"0.774317176","NULL","NULL","NULL","NULL","b","v","knife","knife"
"b.leg","v.leg",0.786073594016285,0.646040478506273,0,"0.85854857","NULL","NULL","NULL","NULL","b","v","leg","leg"
"b.level","m.level",0.307326443043221,0.288064990990181,0,"0.74778376","NULL","NULL","NULL","NULL","b","m","level","level"
"b.lion","m.lion",0.734697826488666,0.665110536119971,0.0613874873416812,"0.731179981","NULL","NULL","NULL","NULL","b","m","lion","lion"
"b.lion","v.lion",0.504244206006501,0.466410042021353,0,"0.731179981","NULL","NULL","NULL","NULL","b","v","lion","lion"
"b.listen","v.listen",0.600530254355085,0.480909512034832,0,"0.893083396","NULL","NULL","NULL","NULL","b","v","listen","listen"
"b.look","v.look",0.817858104582037,0.360881916092138,0,"0.713442847","NULL","NULL","NULL","NULL","b","v","look","look"
"b.make","v.make",0.469807211584232,0.461721255800346,0,"0.743518822","NULL","NULL","NULL","NULL","b","v","make","make"
"b.mouse","m.mouse",0.727076606600736,0.710218338906551,0,"0.804305548","NULL","NULL","NULL","NULL","b","m","mouse","mouse"
"b.mouse","v.mouse",0.782702966372731,0.786130837825442,0,"0.804305548","NULL","NULL","NULL","NULL","b","v","mouse","mouse"
"b.necklace","m.necklace",0.702728414328302,0.652880302056981,0.62121727219592,"0.828394051","NULL","NULL","NULL","NULL","b","m","necklace","necklace"
"b.octopus","m.octopus",0.686794411736371,0.406580284291275,0,"0.740002933","NULL","NULL","NULL","NULL","b","m","octopus","octopus"
"b.oven","m.oven",0.76336318295583,0.605359429959335,0.671712737036257,"0.831812005","NULL","NULL","NULL","NULL","b","m","oven","oven"
"b.pen","m.pen",0.726062411851267,0.627401338103795,0.856683261134466,"0.846427124","NULL","NULL","NULL","NULL","b","m","pen","pen"
"b.pen","v.pen",0.878649425710087,0.783839169806097,0.0602169258774414,"0.846427124","NULL","NULL","NULL","NULL","b","v","pen","pen"
"b.pot","m.pot",0.644714665583462,0.516366327207307,0,"0.824050361","NULL","NULL","NULL","NULL","b","m","pot","pot"
"b.push","v.push",0.641371452992082,0.637401728289975,0,"0.693305349","NULL","NULL","NULL","NULL","b","v","push","push"
"b.pyramid","m.pyramid",0.608375263726227,0.478174137554422,0.517156513068178,"0.610136823","NULL","NULL","NULL","NULL","b","m","pyramid","pyramid"
"b.radio","m.radio",0.474665211305294,0.378227972652649,0.159565627147123,"0.71537657","NULL","NULL","NULL","NULL","b","m","radio","radio"
"b.rock","m.rock",0.739493255248003,0.737204086760181,0,"0.877255417","NULL","NULL","NULL","NULL","b","m","rock","rock"
"b.rocket","m.rocket",0.501525509665249,0.46988339023973,0.673754606255558,"0.681771167","NULL","NULL","NULL","NULL","b","m","rocket","rocket"
"b.scissors","m.scissors",0.933190267994011,0.606958860265698,0.812282105031687,"0.663911773","NULL","NULL","NULL","NULL","b","m","scissors","scissors"
"b.scissors","v.scissors",0.880943968275185,0.808180403294853,0,"0.663911773","NULL","NULL","NULL","NULL","b","v","scissors","scissors"
"b.see","v.see",0.745381159558553,0.125228716410504,0,"0.612131418","NULL","NULL","NULL","NULL","b","v","see","see"
"b.ship","m.ship",0.406435131807286,0.272430179268451,0.236585002495975,"0.762141388","NULL","NULL","NULL","NULL","b","m","ship","ship"
"b.ship","v.ship",0.785484452730706,0.76333965331009,0,"0.762141388","NULL","NULL","NULL","NULL","b","v","ship","ship"
"b.shirt","m.shirt",0.656558409349537,0.444501024803462,0.513350252430501,"0.703949828","NULL","NULL","NULL","NULL","b","m","shirt","shirt"
"b.shirt","v.shirt",0.796030786204002,0.667904428301924,0,"0.703949828","NULL","NULL","NULL","NULL","b","v","shirt","shirt"
"b.shoe","v.shoe",0.720829334714371,0.225272310477178,0,"0.563761085","NULL","NULL","NULL","NULL","b","v","shoe","shoe"
"b.sing","v.sing",0.730395546476032,0.645374087363284,0,"0.869334455","NULL","NULL","NULL","NULL","b","v","sing","sing"
"b.slide","v.slide",0.349845106628981,0.205892515634649,0,"0.642829063","NULL","NULL","NULL","NULL","b","v","slide","slide"
"b.smile","v.smile",0.686858785994559,0.614406486879084,0,"0.915970399","NULL","NULL","NULL","NULL","b","v","smile","smile"
"b.snail","m.snail",0.90139560162873,0.901222343336597,0.847828529307936,"0.928544998","NULL","NULL","NULL","NULL","b","m","snail","snail"
"b.squirrel","m.squirrel",0.759707430791772,0.688361300253755,0.645537519242868,"0.797865835","NULL","NULL","NULL","NULL","b","m","squirrel","squirrel"
"b.stay","v.stay",0.17609413117368,0.186896169075258,0,"0.604303979","NULL","NULL","NULL","NULL","b","v","stay","stay"
"b.stone","m.stone",0.599503158578986,0.619099841743352,0,"0.826897717","NULL","NULL","NULL","NULL","b","m","stone","stone"
"b.submarine","m.submarine",0.733741588889216,0.601117964649279,0,"0.845580117","NULL","NULL","NULL","NULL","b","m","submarine","submarine"
"b.surfboard","m.surfboard",0.709942055323646,0.715674258721622,0.646657133361761,"0.672210673","NULL","NULL","NULL","NULL","b","m","surfboard","surfboard"
"b.sword","m.sword",0.61464483668433,0.625998211430341,0,"0.822973416","NULL","NULL","NULL","NULL","b","m","sword","sword"
"b.sword","v.sword",0.775822857262827,0.72993361400404,0,"0.822973416","NULL","NULL","NULL","NULL","b","v","sword","sword"
"b.taste","v.taste",0.71698804594066,0.61218977004351,0,"0.854538223","NULL","NULL","NULL","NULL","b","v","taste","taste"
"b.tell","v.tell",0.754365430554651,0.649004276415761,0,"0.869777826","NULL","NULL","NULL","NULL","b","v","tell","tell"
"b.touch","v.touch",0.747311143827896,0.622388617099996,0,"0.907725469","NULL","NULL","NULL","NULL","b","v","touch","touch"
"b.toy","m.toy",0.80429822290596,0.43686197872475,0.480019384323658,"0.877185036","NULL","NULL","NULL","NULL","b","m","toy","toy"
"b.train","m.train",0.387577308088878,0.396229414513161,0.612844094987598,"0.745399751","NULL","NULL","NULL","NULL","b","m","train","train"
"b.train","v.train",0.580660138324004,0.0702327062026672,0,"0.745399751","NULL","NULL","NULL","NULL","b","v","train","train"
"b.turtle","m.turtle",0.665205742901358,0.598878681548786,0,"0.853527703","NULL","NULL","NULL","NULL","b","m","turtle","turtle"
